GENESIS table: 32131-0001
Collected transport and outer packaging, collector:;;
Germany, years;
Rec. i.e. collection v. Transport and outer packaging;;
Germany;;
;Collected transport and outer packaging;Collectors
;1000 t;number
2001;4544.0;.
2002;4554.9;1629
2003;4480.1;1616
2004;4646.9;1600
2005;4685.1;1526
2006;4571.7;1494
2007;4542.3;1470
2008;4245.9;1419
2009;4138.8;1337
2010;4263.8;1321
2011;4195.9;1324
2012;4259.2;1298
2013;4847.2;1279
2014;4355.9;1215
2015;4807.5;1227
2016;4847.8;1200
2017;4880.3;1167
2018;4837.8;1396
2019;4894.3;1307
2020;4745,0;1266
__________
© Federal Statistical Office (Destatis), 2023
Status: 08/26/2023 / 16:44:38
